timestamp,tool,filesize(mb),os,ram(gb),drive type,process(mb/s),researcher
0.02727937698,pandas,1.056,linux,32,ssd nvme,38.711,y.tsepkov
0.02213263512,pandas,1.056,linux,32,ssd nvme,47.712,y.tsepkov
0.02193927765,pandas,1.056,linux,32,ssd nvme,48.133,y.tsepkov
0.02235937119,pandas,1.056,linux,32,ssd nvme,47.229,y.tsepkov
0.02202773094,pandas,1.056,linux,32,ssd nvme,47.94,y.tsepkov
0.02246832848,pandas,1.056,linux,32,ssd nvme,46.999,y.tsepkov
0.02294945717,pandas,1.056,linux,32,ssd nvme,46.014,y.tsepkov
0.02173805237,pandas,1.056,linux,32,ssd nvme,48.578,y.tsepkov
0.02285146713,pandas,1.056,linux,32,ssd nvme,46.211,y.tsepkov
0.02220249176,pandas,1.056,linux,32,ssd nvme,47.562,y.tsepkov
0.0457201004,pandas,2.123,linux,32,ssd nvme,46.435,y.tsepkov
0.04332709312,pandas,2.123,linux,32,ssd nvme,48.999,y.tsepkov
0.0430123806,pandas,2.123,linux,32,ssd nvme,49.358,y.tsepkov
0.043709039689999986,pandas,2.123,linux,32,ssd nvme,48.571,y.tsepkov
0.04266190529,pandas,2.123,linux,32,ssd nvme,49.763,y.tsepkov
0.04356384277,pandas,2.123,linux,32,ssd nvme,48.733,y.tsepkov
0.04219818115,pandas,2.123,linux,32,ssd nvme,50.31,y.tsepkov
0.04323554039,pandas,2.123,linux,32,ssd nvme,49.103,y.tsepkov
0.04422235489,pandas,2.123,linux,32,ssd nvme,48.007,y.tsepkov
0.047744989400000014,pandas,2.123,linux,32,ssd nvme,44.465,y.tsepkov
0.1088058949,pandas,5.322,linux,32,ssd nvme,48.913,y.tsepkov
0.1064920425,pandas,5.322,linux,32,ssd nvme,49.976,y.tsepkov
0.1041491032,pandas,5.322,linux,32,ssd nvme,51.1,y.tsepkov
0.103464365,pandas,5.322,linux,32,ssd nvme,51.438,y.tsepkov
0.1050388813,pandas,5.322,linux,32,ssd nvme,50.667,y.tsepkov
0.1066086292,pandas,5.322,linux,32,ssd nvme,49.921,y.tsepkov
0.1074297428,pandas,5.322,linux,32,ssd nvme,49.539,y.tsepkov
0.1069302559,pandas,5.322,linux,32,ssd nvme,49.771,y.tsepkov
0.1046154499,pandas,5.322,linux,32,ssd nvme,50.872,y.tsepkov
0.1061778069,pandas,5.322,linux,32,ssd nvme,50.123,y.tsepkov
0.2274110317,pandas,10.751,linux,32,ssd nvme,47.276,y.tsepkov
0.2188048363,pandas,10.751,linux,32,ssd nvme,49.135,y.tsepkov
0.2185485363,pandas,10.751,linux,32,ssd nvme,49.193,y.tsepkov
0.21701598170000005,pandas,10.751,linux,32,ssd nvme,49.54,y.tsepkov
0.2179322243,pandas,10.751,linux,32,ssd nvme,49.332,y.tsepkov
0.2169039249,pandas,10.751,linux,32,ssd nvme,49.566,y.tsepkov
0.2170248032,pandas,10.751,linux,32,ssd nvme,49.538,y.tsepkov
0.220770359,pandas,10.751,linux,32,ssd nvme,48.698,y.tsepkov
0.2196211815,pandas,10.751,linux,32,ssd nvme,48.952,y.tsepkov
0.2167918682,pandas,10.751,linux,32,ssd nvme,49.591,y.tsepkov
0.4505443573,pandas,21.61,linux,32,ssd nvme,47.964,y.tsepkov
0.4311645031,pandas,21.61,linux,32,ssd nvme,50.12,y.tsepkov
0.4391136169,pandas,21.61,linux,32,ssd nvme,49.213,y.tsepkov
0.4317376614,pandas,21.61,linux,32,ssd nvme,50.054,y.tsepkov
0.4346261024000001,pandas,21.61,linux,32,ssd nvme,49.721,y.tsepkov
0.4269459248,pandas,21.61,linux,32,ssd nvme,50.615,y.tsepkov
0.4276595116,pandas,21.61,linux,32,ssd nvme,50.531,y.tsepkov
0.4284391403,pandas,21.61,linux,32,ssd nvme,50.439,y.tsepkov
0.4275479317,pandas,21.61,linux,32,ssd nvme,50.544,y.tsepkov
0.4291601181,pandas,21.61,linux,32,ssd nvme,50.354,y.tsepkov
1.08836174,pandas,54.171,linux,32,ssd nvme,49.773,y.tsepkov
1.0636520390000002,pandas,54.171,linux,32,ssd nvme,50.929,y.tsepkov
1.055120468,pandas,54.171,linux,32,ssd nvme,51.341,y.tsepkov
1.059605598,pandas,54.171,linux,32,ssd nvme,51.124,y.tsepkov
1.05746913,pandas,54.171,linux,32,ssd nvme,51.227,y.tsepkov
1.056557655,pandas,54.171,linux,32,ssd nvme,51.271,y.tsepkov
1.059628963,pandas,54.171,linux,32,ssd nvme,51.123,y.tsepkov
1.065791368,pandas,54.171,linux,32,ssd nvme,50.827,y.tsepkov
1.076648474,pandas,54.171,linux,32,ssd nvme,50.314,y.tsepkov
1.094801426,pandas,54.171,linux,32,ssd nvme,49.48,y.tsepkov
2.220063686,pandas,109.394,linux,32,ssd nvme,49.275,y.tsepkov
2.138010979,pandas,109.394,linux,32,ssd nvme,51.166,y.tsepkov
2.113669395,pandas,109.394,linux,32,ssd nvme,51.755,y.tsepkov
2.10510993,pandas,109.394,linux,32,ssd nvme,51.966,y.tsepkov
2.10740447,pandas,109.394,linux,32,ssd nvme,51.909,y.tsepkov
2.114039421,pandas,109.394,linux,32,ssd nvme,51.746,y.tsepkov
2.100196123,pandas,109.394,linux,32,ssd nvme,52.088,y.tsepkov
2.124948025,pandas,109.394,linux,32,ssd nvme,51.481,y.tsepkov
2.14008975,pandas,109.394,linux,32,ssd nvme,51.117,y.tsepkov
2.18039465,pandas,109.394,linux,32,ssd nvme,50.172,y.tsepkov
4.387550354,pandas,219.851,linux,32,ssd nvme,50.108,y.tsepkov
4.241898298,pandas,219.851,linux,32,ssd nvme,51.828,y.tsepkov
4.2368009089999985,pandas,219.851,linux,32,ssd nvme,51.891,y.tsepkov
4.306921482,pandas,219.851,linux,32,ssd nvme,51.046,y.tsepkov
4.256042719,pandas,219.851,linux,32,ssd nvme,51.656,y.tsepkov
4.245759249,pandas,219.851,linux,32,ssd nvme,51.781,y.tsepkov
4.260775328,pandas,219.851,linux,32,ssd nvme,51.599,y.tsepkov
4.26457119,pandas,219.851,linux,32,ssd nvme,51.553,y.tsepkov
4.26297164,pandas,219.851,linux,32,ssd nvme,51.572,y.tsepkov
4.249083042,pandas,219.851,linux,32,ssd nvme,51.741,y.tsepkov
11.09924865,pandas,551.203,linux,32,ssd nvme,49.661,y.tsepkov
10.79673123,pandas,551.203,linux,32,ssd nvme,51.053,y.tsepkov
10.72835898,pandas,551.203,linux,32,ssd nvme,51.378,y.tsepkov
10.70767903,pandas,551.203,linux,32,ssd nvme,51.477,y.tsepkov
10.78211975,pandas,551.203,linux,32,ssd nvme,51.122,y.tsepkov
10.66680217,pandas,551.203,linux,32,ssd nvme,51.675,y.tsepkov
10.68137336,pandas,551.203,linux,32,ssd nvme,51.604,y.tsepkov
10.68552136,pandas,551.203,linux,32,ssd nvme,51.584,y.tsepkov
10.6801548,pandas,551.203,linux,32,ssd nvme,51.61,y.tsepkov
10.75976896,pandas,551.203,linux,32,ssd nvme,51.228,y.tsepkov
21.93728709,pandas,1113.011,linux,32,ssd nvme,50.736,y.tsepkov
21.51100993,pandas,1113.011,linux,32,ssd nvme,51.741,y.tsepkov
21.53036189,pandas,1113.011,linux,32,ssd nvme,51.695,y.tsepkov
21.60284567,pandas,1113.011,linux,32,ssd nvme,51.521,y.tsepkov
21.54113984,pandas,1113.011,linux,32,ssd nvme,51.669,y.tsepkov
21.66974568,pandas,1113.011,linux,32,ssd nvme,51.362,y.tsepkov
21.58870673,pandas,1113.011,linux,32,ssd nvme,51.555,y.tsepkov
21.62048531,pandas,1113.011,linux,32,ssd nvme,51.479,y.tsepkov
21.60923457,pandas,1113.011,linux,32,ssd nvme,51.506,y.tsepkov
21.64653754,pandas,1113.011,linux,32,ssd nvme,51.418,y.tsepkov
44.51052618,pandas,2236.616,linux,32,ssd nvme,50.249,y.tsepkov
42.81200647,pandas,2236.616,linux,32,ssd nvme,52.243,y.tsepkov
42.85581779,pandas,2236.616,linux,32,ssd nvme,52.189,y.tsepkov
42.75229216,pandas,2236.616,linux,32,ssd nvme,52.316,y.tsepkov
42.74573827,pandas,2236.616,linux,32,ssd nvme,52.324,y.tsepkov
42.73706675,pandas,2236.616,linux,32,ssd nvme,52.334,y.tsepkov
42.75951147,pandas,2236.616,linux,32,ssd nvme,52.307,y.tsepkov
43.02761173,pandas,2236.616,linux,32,ssd nvme,51.981,y.tsepkov
42.77910447,pandas,2236.616,linux,32,ssd nvme,52.283,y.tsepkov
42.87596129999999,pandas,2236.616,linux,32,ssd nvme,52.165,y.tsepkov
88.68707037,pandas,4483.807,linux,32,ssd nvme,50.558,y.tsepkov
88.80569935,pandas,4483.807,linux,32,ssd nvme,50.49,y.tsepkov
88.44007254,pandas,4483.807,linux,32,ssd nvme,50.699,y.tsepkov
85.6081512,pandas,4483.807,linux,32,ssd nvme,52.376,y.tsepkov
86.37949419,pandas,4483.807,linux,32,ssd nvme,51.908,y.tsepkov
86.16881108,pandas,4483.807,linux,32,ssd nvme,52.035,y.tsepkov
86.25032759,pandas,4483.807,linux,32,ssd nvme,51.986,y.tsepkov
85.8880136,pandas,4483.807,linux,32,ssd nvme,52.205,y.tsepkov
85.48306394,pandas,4483.807,linux,32,ssd nvme,52.453,y.tsepkov
85.72780275,pandas,4483.807,linux,32,ssd nvme,52.303,y.tsepkov
0.1927871704,dask,1.056,linux,32,ssd nvme,5.478,y.tsepkov
0.09528422356,dask,1.056,linux,32,ssd nvme,11.083,y.tsepkov
0.08661079407,dask,1.056,linux,32,ssd nvme,12.192,y.tsepkov
0.09195637703,dask,1.056,linux,32,ssd nvme,11.484,y.tsepkov
0.1033716202,dask,1.056,linux,32,ssd nvme,10.216,y.tsepkov
0.07736349106000001,dask,1.056,linux,32,ssd nvme,13.65,y.tsepkov
0.08041238785,dask,1.056,linux,32,ssd nvme,13.132,y.tsepkov
0.08969187736999999,dask,1.056,linux,32,ssd nvme,11.774,y.tsepkov
0.076867342,dask,1.056,linux,32,ssd nvme,13.738,y.tsepkov
0.09758090973,dask,1.056,linux,32,ssd nvme,10.822,y.tsepkov
0.1058101654,dask,2.123,linux,32,ssd nvme,20.064,y.tsepkov
0.1147942543,dask,2.123,linux,32,ssd nvme,18.494,y.tsepkov
0.1094560623,dask,2.123,linux,32,ssd nvme,19.396,y.tsepkov
0.1083381176,dask,2.123,linux,32,ssd nvme,19.596,y.tsepkov
0.09514117241,dask,2.123,linux,32,ssd nvme,22.314,y.tsepkov
0.105701685,dask,2.123,linux,32,ssd nvme,20.085,y.tsepkov
0.1035804749,dask,2.123,linux,32,ssd nvme,20.496,y.tsepkov
0.1024096012,dask,2.123,linux,32,ssd nvme,20.73,y.tsepkov
0.09892416,dask,2.123,linux,32,ssd nvme,21.461,y.tsepkov
0.1103897095,dask,2.123,linux,32,ssd nvme,19.232,y.tsepkov
0.16872644420000002,dask,5.322,linux,32,ssd nvme,31.542,y.tsepkov
0.1759853363,dask,5.322,linux,32,ssd nvme,30.241,y.tsepkov
0.1819965839,dask,5.322,linux,32,ssd nvme,29.242,y.tsepkov
0.1788945198,dask,5.322,linux,32,ssd nvme,29.749,y.tsepkov
0.16935324670000002,dask,5.322,linux,32,ssd nvme,31.425,y.tsepkov
0.1803047657,dask,5.322,linux,32,ssd nvme,29.517,y.tsepkov
0.1858053207,dask,5.322,linux,32,ssd nvme,28.643,y.tsepkov
0.1835024357,dask,5.322,linux,32,ssd nvme,29.002,y.tsepkov
0.17667746539999998,dask,5.322,linux,32,ssd nvme,30.123,y.tsepkov
0.1675927639,dask,5.322,linux,32,ssd nvme,31.756,y.tsepkov
0.30921888350000004,dask,10.751,linux,32,ssd nvme,34.768,y.tsepkov
0.3033032417,dask,10.751,linux,32,ssd nvme,35.446,y.tsepkov
0.2928433418,dask,10.751,linux,32,ssd nvme,36.712,y.tsepkov
0.3007786274,dask,10.751,linux,32,ssd nvme,35.744,y.tsepkov
0.28562736510000003,dask,10.751,linux,32,ssd nvme,37.64,y.tsepkov
0.2919611931,dask,10.751,linux,32,ssd nvme,36.823,y.tsepkov
0.2982943058,dask,10.751,linux,32,ssd nvme,36.042,y.tsepkov
0.29882907870000003,dask,10.751,linux,32,ssd nvme,35.977,y.tsepkov
0.3021335602,dask,10.751,linux,32,ssd nvme,35.584,y.tsepkov
0.2891800404,dask,10.751,linux,32,ssd nvme,37.178,y.tsepkov
0.5203888416,dask,21.61,linux,32,ssd nvme,41.527,y.tsepkov
0.5232799053,dask,21.61,linux,32,ssd nvme,41.297,y.tsepkov
0.5027379989999999,dask,21.61,linux,32,ssd nvme,42.985,y.tsepkov
0.5225234032,dask,21.61,linux,32,ssd nvme,41.357,y.tsepkov
0.5171003342,dask,21.61,linux,32,ssd nvme,41.791,y.tsepkov
0.5223667622,dask,21.61,linux,32,ssd nvme,41.369,y.tsepkov
0.5071380138,dask,21.61,linux,32,ssd nvme,42.612,y.tsepkov
0.5060260296,dask,21.61,linux,32,ssd nvme,42.705,y.tsepkov
0.5144529342999999,dask,21.61,linux,32,ssd nvme,42.006,y.tsepkov
0.5162534714,dask,21.61,linux,32,ssd nvme,41.859,y.tsepkov
1.164476395,dask,54.171,linux,32,ssd nvme,46.52,y.tsepkov
1.172587395,dask,54.171,linux,32,ssd nvme,46.198,y.tsepkov
1.1397051809999998,dask,54.171,linux,32,ssd nvme,47.531,y.tsepkov
1.198297977,dask,54.171,linux,32,ssd nvme,45.207,y.tsepkov
1.179894924,dask,54.171,linux,32,ssd nvme,45.912,y.tsepkov
